Ограничение,
ЛС,Дата
31,2025-09-09 00:00:00
66,2025-02-25 00:00:00
90,2025-09-11 00:00:00
118,2025-04-19 00:00:00
153,2025-07-11 00:00:00
195,2025-05-21 00:00:00
226,2025-01-30 00:00:00
248,2025-03-27 00:00:00
260,2025-08-06 00:00:00
306,2025-09-18 00:00:00
493,2025-09-12 00:00:00
583,2025-09-18 00:00:00
610,2025-12-03 00:00:00
642,2025-09-10 00:00:00
980,2025-01-30 00:00:00
980,2025-07-07 00:00:00
1106,2025-06-05 00:00:00
1150,2025-11-12 00:00:00
1186,2025-02-10 00:00:00
1202,2025-04-08 00:00:00
1291,2026-01-21 00:00:00
1336,2025-03-18 00:00:00
1351,2025-05-14 00:00:00
1351,2026-02-10 00:00:00
1401,2025-11-11 00:00:00
1405,2025-01-20 00:00:00
1436,2025-09-26 00:00:00
1486,2025-06-06 00:00:00
1740,2025-01-17 00:00:00
1740,2025-06-17 00:00:00
1806,2026-02-10 00:00:00
1884,2025-04-03 00:00:00
1944,2025-05-15 00:00:00
1944,2025-12-03 00:00:00
1974,2025-06-16 00:00:00
1993,2025-01-09 00:00:00
2089,2025-05-15 00:00:00
2141,2025-06-02 00:00:00
2180,2025-04-18 00:00:00
2214,2025-01-27 00:00:00
2214,2025-11-10 00:00:00
2258,2026-01-23 00:00:00
2351,2025-06-16 00:00:00
2553,2025-08-19 00:00:00
2595,2025-08-20 00:00:00
2653,2025-10-14 00:00:00
2663,2025-06-02 00:00:00
2761,2025-10-07 00:00:00
2801,2025-11-14 00:00:00
3465,2026-02-12 00:00:00
3943,2025-06-10 00:00:00
3943,2025-09-10 00:00:00
3977,2025-01-17 00:00:00
4224,2025-03-10 00:00:00
4224,2025-10-04 00:00:00
4234,2025-11-14 00:00:00
4274,2026-02-25 00:00:00
4283,2026-02-13 00:00:00
4490,2026-02-13 00:00:00
4555,2025-05-20 00:00:00
4647,2025-11-19 00:00:00
4688,2025-05-21 00:00:00
4696,2025-04-03 00:00:00
4833,2026-02-18 00:00:00
4851,2025-03-10 00:00:00
4856,2025-03-10 00:00:00
4893,2025-09-16 00:00:00
5020,2025-07-07 00:00:00
5030,2025-05-14 00:00:00
5065,2025-03-06 00:00:00
5164,2025-03-10 00:00:00
5169,2025-03-10 00:00:00
5173,2025-03-10 00:00:00
5307,2026-01-22 00:00:00
5309,2026-01-21 00:00:00
5359,2025-10-21 00:00:00
5414,2025-07-07 00:00:00
5477,2025-11-14 00:00:00
5599,2025-10-21 00:00:00
5620,2025-08-28 00:00:00
5655,2025-08-28 00:00:00
5717,2025-10-18 00:00:00
5762,2025-06-27 00:00:00
5776,2025-10-21 00:00:00
5799,2025-04-11 00:00:00
5813,2025-01-30 00:00:00
5819,2025-10-21 00:00:00
5862,2025-11-14 00:00:00
5907,2025-03-26 00:00:00
5995,2025-06-10 00:00:00
6007,2025-03-26 00:00:00
6041,2025-12-17 00:00:00
6117,2025-10-21 00:00:00
6136,2025-10-21 00:00:00
6144,2025-11-14 00:00:00
6206,2025-09-18 00:00:00
6229,2025-11-14 00:00:00
6262,2025-03-26 00:00:00
6312,2025-04-17 00:00:00
6326,2025-05-21 00:00:00
6340,2025-11-14 00:00:00
6445,2025-03-26 00:00:00
