"Процентные ставки денежно-кредитной политики (по датам изменений)*, % годовых",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Данные с 01.08.2000 по наст. время,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дата,Ключевая ставка,Изменение ключевой ставки,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозиты постоянного действия на стандартных условиях:,Депозитные аукционы на срок:,Депозитные аукционы на срок:,Депозитные аукционы на срок:,Депозитные аукционы на срок:,Депозитные аукционы на срок:,Репо постоянного действия на срок:,Репо постоянного действия на срок:,Репо постоянного действия на срок:,Репо постоянного действия на срок:,Аукционы репо на срок:,Аукционы репо на срок:,Аукционы репо на срок:,Аукционы репо на срок:,Аукционы репо на срок:,Аукционы репо на срок:,Аукционы репо на срок:,Валютные свопы постоянного действия,Валютные свопы постоянного действия,"Кредиты 
овернайт","Ломбардные кредиты постоянного действия 
на срок:","Ломбардные кредиты постоянного действия 
на срок:","Ломбардные кредиты постоянного действия 
на срок:","Ломбардные кредиты постоянного действия 
на срок:","Ломбардные кредиты постоянного действия 
на срок:","Ломбардные кредитные аукционы 
на срок:","Ломбардные кредитные аукционы 
на срок:","Ломбардные кредитные аукционы 
на срок:","Ломбардные кредитные аукционы 
на срок:","Ломбардные кредитные аукционы 
на срок:","Ломбардные кредитные аукционы 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредиты постоянного действия (нерыночные активы), 
на срок:","Кредитные аукционы 
(нерыночные активы) на срок:","Кредитные аукционы 
(нерыночные активы) на срок:","Кредитные аукционы 
(нерыночные активы) на срок:","Кредитные аукционы 
(нерыночные активы) на срок:","Кредиты, обеспеченные золотом 
по № 362-П, на срок:","Кредиты, обеспеченные золотом 
по № 362-П, на срок:","Кредиты, обеспеченные золотом 
по № 362-П, на срок:","Кредиты, обеспеченные золотом 
по № 362-П, на срок:","Кредиты, обеспеченные золотом 
по № 362-П, на срок:","Кредиты, обеспеченные нерыночными активами 
по № 273-П, на срок:","Кредиты, обеспеченные нерыночными активами 
по № 273-П, на срок:","Кредиты, обеспеченные нерыночными активами по № 122-П",Ставка рефинансирования,Примечания,,,
Дата,Ключевая ставка,Изменение ключевой ставки,овернайт,том-некст,спот-некст,1 неделя,спот - 1 неделя,2 недели,спот - 2 недели,1 месяц,том - 1 месяц,3 месяца,до востребования,"от 1 до 6 дней
""тонкой настройки""",1 неделя,2 недели,"4 недели
1 месяц",3 месяца,1 день,1 неделя,1 год,ДМ (от 1 до 180 дней),1 день,"от 1 до 6 дней
""тонкой настройки""",1 неделя,1 месяц,3 месяца,6 месяцев,12 месяцев,По рублевой части,По валютной части**,"Кредиты 
овернайт",1 день,7 дней,30 дней,от 2 до 30 дней,от 31 до 90 дней,1 неделя,2 недели,3 месяца,6 месяцев,12 месяцев,36 месяцев,1 день,от 2 до 30 дней,от 31 до 90 дней,от 91 до 180 дней,от 181 до 365 дней,от 366 до 549 дней,ДМ (от 1 до 180 дней),1-3 недели,3 месяца,12 месяцев,18 месяцев,1 день,от 2 до 90 дней,от 91 до 180 дней,от 181 до 365 дней,от 366 до 549 дней,от 1 до 90 дней,от 91 до 180 дней,"Кредиты, обеспеченные нерыночными активами по № 122-П",Ставка рефинансирования,Примечания,,,
2000-08-01 00:00:00, — , — ,1.2,1.5,1.8,4,4.5,5,5.5,7, — ,9, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,25, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,28,,,,
2000-10-09 00:00:00, — , — ,1.2,1.5,1.8,4,4.5,5,5.5,7, — ,9, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,25, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",28,"ввод кредитов ПД 122-П, ставки в привязке к ставке реф",,,
2000-11-04 00:00:00, — , — ,1,1.2,1.5,3.5,4,4.5,5,7, — ,9, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,"снизили депо ПД (кроме 1 и 3 мес), кр овернайт, ставку реф ",,,
2000-11-27 00:00:00, — , — ,1.5,1.8,2,5,5.5,6.5,7,8, — ,10, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,повысили депо ПД,,,
2001-01-15 00:00:00, — , — ,1.5,1.8,2,6,6.5,7,7.5,8, — ,10, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,повысили депо ПД 1 и 2 нед,,,
2001-06-21 00:00:00, — , — ,2,2.3,2.5,7,7.5,8.5,9,10, — ,12, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,повысили депо ПД,,,
2001-07-12 00:00:00, — , — ,2,2.3,2.5,7.5,8,9,9.5,10, — ,12, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,повысили депо ПД 1 и 2 нед,,,
2001-08-30 00:00:00, — , — ,2,2.3,2.5,7.5,8,9,9.5,10, — ,12,2.7, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,ввод депо ПД call,,,
2001-10-10 00:00:00, — , — ,2.5,2.8,3,8,8.5,9,9.5,10, — ,12,3.2, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,22, — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — , — ,"0,5*ref",25,"повысили депо ПД 1 д, 1 нед, call",,,
