ЛС,cluster
1,3
2,3
3,3
4,1
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,5
16,1
17,6
18,3
19,3
20,1
21,5
22,3
23,3
24,2
25,2
26,3
27,2
28,3
29,3
30,3
31,6
32,3
33,2
34,3
35,3
36,3
37,5
38,3
39,3
40,2
41,6
42,3
43,3
44,5
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,6
55,5
56,1
57,3
58,1
59,1
60,3
61,2
62,5
63,1
64,1
65,5
66,4
67,5
68,1
69,1
70,3
71,3
72,3
73,3
74,3
75,3
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,3
84,3
85,3
86,6
87,5
88,3
89,3
90,2
91,1
92,4
93,6
94,1
95,1
96,1
97,3
98,1
99,1
100,6
101,1
102,3
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,6
115,6
116,6
117,6
118,6
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,6
127,6
128,3
129,3
130,3
131,3
132,3
133,3
134,1
135,3
136,3
137,3
138,3
139,3
140,2
141,3
142,3
143,1
144,3
145,3
146,3
147,3
148,5
149,3
150,3
151,3
152,3
153,2
154,3
155,3
156,3
157,3
158,3
159,5
160,3
161,5
162,3
163,3
164,3
165,2
166,5
167,3
168,5
169,3
170,3
171,3
172,3
173,3
174,3
175,5
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,5
184,3
185,2
186,5
187,5
188,3
189,5
190,5
191,3
192,1
193,5
194,5
195,2
196,1
197,6
198,3
199,3
200,5
201,2
202,3
203,1
204,3
205,3
206,5
207,3
208,3
209,3
210,3
211,5
212,3
213,5
214,5
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,6
226,5
227,3
228,5
229,5
230,3
231,3
232,3
233,2
234,6
235,1
236,5
237,3
238,5
239,5
240,3
241,5
242,3
243,3
244,3
245,3
246,5
247,1
248,6
249,6
250,2
251,3
252,3
253,3
254,3
255,1
256,1
257,3
258,3
259,3
260,2
261,5
262,5
263,3
264,2
265,5
266,5
267,5
268,3
269,3
270,2
271,3
272,3
273,3
274,5
275,3
276,5
277,3
278,3
279,3
280,5
281,3
282,5
283,3
284,3
285,3
286,1
287,1
288,3
289,3
290,5
291,3
292,2
293,3
294,5
295,3
296,5
297,3
298,3
299,3
300,3
301,3
302,5
303,3
304,3
305,2
306,2
307,3
308,3
309,3
310,3
311,3
312,2
313,5
314,3
315,5
316,3
317,3
318,3
319,3
320,3
321,3
322,5
323,3
324,2
325,5
326,3
327,3
328,3
329,3
330,5
331,3
332,3
333,3
334,3
335,4
336,3
337,2
338,2
339,5
340,6
341,1
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,5
351,3
352,3
353,3
354,3
355,3
356,2
357,1
358,1
359,3
360,3
361,5
362,2
363,3
364,3
365,5
366,3
367,3
368,3
369,3
370,2
371,6
372,3
373,5
374,3
375,3
376,3
377,3
378,3
379,5
380,5
381,3
382,3
383,3
384,3
385,3
386,3
387,3
388,5
389,3
390,3
391,3
392,3
393,3
394,3
395,3
396,6
397,4
398,3
399,3
400,3
401,3
402,3
403,5
404,5
405,3
406,3
407,5
408,3
409,3
410,2
411,3
412,3
413,5
414,3
415,3
416,3
417,5
418,3
419,3
420,3
421,3
422,2
423,3
424,3
425,3
426,3
427,3
428,2
429,3
430,3
431,3
432,3
433,5
434,3
435,3
436,5
437,3
438,3
439,4
440,3
441,3
442,3
443,5
444,3
445,3
446,5
447,3
448,5
449,5
450,5
451,3
452,3
453,3
454,5
455,3
456,3
457,3
458,3
459,5
460,3
461,3
462,3
463,3
464,3
465,3
466,3
467,5
468,3
469,3
470,3
471,3
472,5
473,3
474,3
475,3
476,2
477,3
478,3
479,5
480,3
481,5
482,3
483,3
484,3
485,2
486,3
487,3
488,3
489,3
490,3
491,5
492,2
493,4
494,3
495,3
496,3
497,3
498,3
499,3
500,2
501,5
502,3
503,3
504,3
505,3
506,3
507,5
508,3
509,3
510,3
511,3
512,3
513,5
514,5
515,3
516,5
517,3
518,3
519,5
520,3
521,3
522,3
523,5
524,5
525,3
526,5
527,3
528,3
529,5
530,3
531,3
532,3
533,5
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,5
549,5
550,3
551,5
552,3
553,3
554,3
555,3
556,3
557,3
558,5
559,3
560,3
561,5
562,3
563,3
564,5
565,3
566,3
567,3
568,3
569,3
570,5
571,3
572,5
573,5
574,3
575,3
576,5
577,3
578,5
579,3
580,3
581,2
582,3
583,2
584,3
585,3
586,3
587,2
588,3
589,3
590,2
591,5
592,3
593,3
594,3
595,3
596,3
597,5
598,2
599,3
600,5
601,3
602,5
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,2
611,3
612,3
613,3
614,3
