ЛС,action,expected_return,debt_current_x,cluster,debt_current_y,months_debt
51031,email,7180.684296912077,10083.52,4,10083.52,14
50261,email,7162.83279631769,16145.84,4,16145.84,14
135010,email,7078.194393728824,12024.96,4,12024.96,14
62315,email,6164.599612938008,13166.06,2,13166.06,14
75933,email,5964.949169776276,19262.07,4,19262.07,14
20559,email,5911.637045361143,9695.8,2,9695.8,7
109566,email,5734.4236959576,11505.95,4,11505.95,14
58052,email,5686.776860557211,15266.12,4,15266.12,14
69910,email,5621.907116408678,11540.72,4,11540.72,14
7211,email,5420.578726730405,16288.34,2,16288.34,4
46972,email,5391.550187275212,9581.72,2,9581.72,4
10417,email,5382.597465572761,11956.55,2,11956.55,2
56272,email,5325.126308061248,13538.54,2,13538.54,14
11236,email,5318.099511584617,11159.04,2,11159.04,2
3058,email,5305.899883024507,12070.28,2,12070.28,2
36753,email,5243.105447279337,7447.09,2,7447.09,3
44564,email,5221.347292385044,13605.01,2,13605.01,2
46422,email,5200.540890879377,8123.45,2,8123.45,7
31099,email,5094.411130643396,7302.48,2,7302.48,12
67413,email,4990.680321403736,14032.09,5,14032.09,3
12683,email,4941.391185737678,10648.7,2,10648.7,2
121153,email,4933.693258624204,5768.4,2,5768.4,4
5124,email,4805.377760843209,8862.97,2,8862.97,14
1150,email,4799.170190099102,10956.05,2,10956.05,14
40627,email,4742.8150765282035,22843.77,2,22843.77,14
23289,email,4623.922130638882,8402.62,2,8402.62,14
10414,email,4601.306573708966,9165.0,2,9165.0,6
10343,email,4516.697354452908,11796.84,5,11796.84,5
68841,email,4515.686769044714,8686.51,2,8686.51,11
130405,email,4407.784290256406,1290.48,6,1290.48,4
41120,email,4400.5951143516995,7058.75,2,7058.75,14
1436,email,4384.955985218589,12010.93,2,12010.93,3
13925,email,4356.893709107773,5237.14,2,5237.14,8
103055,email,4332.337605727919,11203.41,2,11203.41,5
99994,email,4324.760980149003,11965.35,2,11965.35,10
1067,email,4316.934228276814,8970.9,2,8970.9,2
51289,email,4313.847246995727,8988.0,2,8988.0,14
74625,email,4256.232727188541,46005.41,4,46005.41,14
10470,email,4227.006528603264,9523.19,2,9523.19,10
10874,email,4221.784621551903,43045.37,4,43045.37,14
97972,email,4194.133194236136,5955.06,6,5955.06,5
102952,email,4175.42219078049,8386.98,4,8386.98,14
43512,email,4147.031135728582,3628.06,1,3628.06,5
11518,email,4144.998443849675,7101.9,5,7101.9,1
13419,email,4116.622759426077,7368.96,2,7368.96,3
25725,email,4079.1331155960643,91935.46,2,91935.46,2
