"Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей","Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2018 гг., рублей",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2015 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2016 1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь ,июль,август,сентябрь,октябрь,ноябрь,декабрь
Российская Федерация ,26840.1,26619.6,28692.9,30025.9,29723,30986.1,30228.7,29226.3,29345.5,30069,30289.6,39648.4,29535,29255.3,31485.9,32947.3,32271.8,33726.1,32514.7,30763.2,31929.2,32439.1,32546.1,42135.7,30928.6,31325.3,32642.2,34377.3,34380.4,35394.5,33900.6,32175.8,32911,33357,33346.8,43407.7,32659.6,33873.4,35500.6,36497.4,37269.8,38447.4,35887.8,35405.1,35843.4,35749,36195.2,47554,34421.596137846755,35497.107328761245,37899.48251158797,39225.10619901859,39679.44386059475,41453.81668524139,38073.16027688964,37098.68891890836,38046.788417519194,38332.64732426007,38847.80881673527,51197.345185527614,39016.684178807125,40443.36287949518,42363.57319728616,43381.051688982996,44075.53753738286,45848.07764798236,42413.4651766869,41363.60067139412,41774.30336641229,42331.66871452135,42595.005329930966,55569.330224101825
Центральный федеральный округ,32118.1,32249.7,35164.6,37138,35546.7,37723,37394,35277.9,35156.4,36209,36527.3,48791.7,35669.6,35821,38616.4,41048.1,38908.9,41219.3,40342,37744.2,39276.5,40212.3,40290.6,52708.2,37413.5,38872.6,39919.7,42332,42063.9,43396.5,42095.2,39567.9,40064.6,40823.7,41094.9,55151.8,39737.9,42796.3,44960.6,46977.5,45540.7,47872.2,44954.5,44593.2,44341.6,44439.4,44990.5,61183,41132.472777214934,43784.64067289826,47066.26994593104,49698.31971957761,47128.818508703764,51467.93274468743,46971.683833918105,45493.70939579058,46592.58859926241,47139.0207949226,47866.327236691126,65683.12822737738,47452.56529923479,51279.21609638983,53771.108479405746,56192.14299867796,53566.57493175756,58177.20403546799,52984.8068474718,51383.060016584976,51529.217602349396,52715.1148108945,52642.49512333896,71661.79421318122
Белгородская область,20381.2,19643.7,21027.2,21700.9,21905.5,22323,23128.5,22271.2,21870.4,22496.2,22587.9,27553.1,22458.8,21473.6,22816.3,23169.7,23545.5,24130.8,24619.8,23700.3,23681.8,24262.6,24015.9,29821.1,23826.2,22825.3,24471.6,24488.2,24957.7,25671.1,26182.7,25133.1,25278.6,25498.3,25143.2,30886.1,24433.7,24508.5,26211.3,26133.9,26375,27292.3,27669.7,27103.3,26669.4,26835.9,26720.2,32471.6,27550.42830422862,26693.481675782008,28212.624597885755,28062.416177021423,28444.15183570502,29732.011442968706,29299.01741742056,28578.030607763,29075.17037338526,29331.592580689758,28757.92553979695,35191.16445406889,29297.68575095144,29455.536831001395,30092.120040402893,31477.55910940886,31179.39492654521,31947.007286164917,32422.18465344848,31603.086760206395,30909.676469769016,31823.450615189446,31162.800891049763,37577.38604742243
Брянская область,16773.9,16632.4,17834.5,18263.5,19883.9,20178.2,19034.5,19197.6,18717.6,19577.7,19694.7,23961.2,18884.6,18540.4,19821.8,21231.8,20837.2,22115.8,20752,20239.5,21029.2,20816.5,20805.9,24668,19769,19741.8,20873,21412,22749.8,23130.2,21772.5,20952.3,21317.2,21333.6,21427.3,25131.6,20909.1,20920.6,21677.2,21797.2,24306,24489.7,22465,22701,22689.3,22481.3,22660.5,27209.8,22635.39017957841,22548.034652455026,23201.816341097863,23591.446156818463,25192.402259839742,26351.11373625103,23864.743168910467,24041.99182025579,24244.125516434455,23990.102124073215,24459.052662037957,28817.467285776613,24555.77376057189,25261.27861784056,25772.943631350103,26218.15775892179,29552.23391902915,29209.5241239202,26891.589525794167,27094.764072214013,26484.9106029789,26892.1999543683,27402.825767626233,32254.503079951235
Владимирская область,18379.5,18563,19203.7,19567.2,19809.7,20351.6,20783.7,20593.7,20037.2,20824.6,21026.4,26097.7,20672.5,20428.6,21486.7,22077.5,22466.8,24202.8,22402.1,21540.5,22007.2,22429.3,22206.5,27397.8,22227.4,22307.2,23242.9,23415.2,23800,25783.3,23713.6,23164.4,23321.3,23702.1,23942.8,28869.9,23083.6,23341.4,24621.7,24594.6,25552.7,27587.7,25042.1,25582.3,26160.6,26896.8,26019.5,30852.2,24681.276756159492,25356.14762334317,26488.490532920794,27155.176734239027,27798.61750610366,29617.896510052502,27443.46111303732,27594.660344784254,27880.748106309577,27591.488039420048,28093.988000556015,34387.353045221644,27938.738197026356,28164.64505457656,29543.866412894688,29425.484793320113,31177.147073994987,33806.067775433665,31565.28970869868,31510.741042657653,31431.942283638127,31423.128168734263,31646.622972474994,38008.97489648612
Воронежская область,19667.8,19332.1,20475.8,21748.7,21627.8,22647.6,22781.8,22057.1,21993.7,22631.6,23282.8,28195.4,21705.1,21200.4,22196.8,24080.9,24029.4,24594.3,24543.1,23424.7,23713.9,24198.9,24191.2,30171.5,23096.2,23064.6,23998.2,24637.5,25055.4,25933.6,25239.3,24790.2,24365.7,25119.2,25000.5,30123.4,23704.3,24285.1,25485.9,26397.1,26667.8,28224.4,26623.4,26513.1,26375.2,26670.9,27394.5,32754.7,25336.915203844284,25418.8591748773,27255.541887407744,28035.42262301491,28143.74207004032,29437.956643635844,28207.174995435285,27625.650029431694,27939.968191792585,28686.104109496453,29328.324003143727,34643.73871825461,27971.267075769476,29018.898290250858,29661.49464190105,31559.423496227137,31014.760363242232,32822.7365928367,31282.64889868885,30612.649864602015,30525.313204870752,31238.09061276488,31285.632272507693,38213.16946369084
Ивановская область,16529.6,16782.4,17943.2,18153.5,18688.7,20227.8,18435.1,18144.9,18321.4,18985,19531.9,25479.9,18870.8,18601.4,19260.4,19870.8,20180.2,21950.9,20383.3,19380.2,20073.9,20661.5,21003.1,26507.9,20246.8,20252.5,21074.4,20740.6,21209.2,22875.6,21052.7,19605.6,20221.2,20622.9,20525.1,26200.7,19971,20530.5,21106.7,21490.1,22363.8,23857.3,21663,20974.7,21494.4,21822.7,22278.9,27911.3,20475.3346246717,20833.445423321413,22107.30892725837,22065.706034597166,23239.310800577918,25485.61810559498,22764.250944995296,21817.097227876315,23181.223513743545,22939.482211232167,23166.96281014664,29994.327759097632,23300.08198081783,23487.97957857708,24580.56181796517,24352.928682164562,25712.093268337976,27859.63226020834,25033.32431950921,24941.107719593743,25108.565169086833,25363.990803970126,26053.036819695397,32360.93662484159
Калужская область,24091.3,23041.7,24701.2,24852.3,25564.7,26138.1,26260.8,25108.3,24915.2,26252.6,25669.6,32546.8,25796.4,25439,26519.1,27477.8,28284.9,28259.8,29031.8,26520.3,26970.8,28241,28381.8,34752.1,27320.6,27053.5,28207,28731.5,29026.4,30062.8,31233,28458.1,28596.7,29304.6,29640.5,35555.7,28515,29040.1,30466.6,30878.4,31579.5,32311.6,31771.9,31247.7,30697.4,31148.8,32237.1,38120.8,30281.288324024747,30820.223901666308,32259.039131487636,32689.86938570731,33191.24011440329,35016.66147346803,33582.94322516517,33545.117041489895,33840.16532666973,33873.89354406113,35054.50196248537,42472.390572917066,34181.953573574385,34436.05529683227,37352.70196897082,36773.360309760734,37349.763529528536,39067.963318802125,37416.001421283894,36356.677868307794,36763.58397673852,37687.08681880005,38004.63270816174,47151.36937549183
Костромская область,17872.9,17122.4,17992.3,18849.1,18578.1,19539,19651.7,18685.1,18836.5,19276.8,19978.6,24378.5,19688.3,19070.3,19819,21012.5,20767.3,21271.8,21682.6,20035.4,20127.4,20693.6,20851.6,25560.2,20396.1,20179.6,20797.7,21838.2,21943,21889.1,22495.5,21178.2,21224.1,21518.9,21367.8,25719.8,20860.9,21520.9,21859,22814.1,22945.9,22869.7,23138.6,22911.5,22565.2,22740.1,23015.6,28269,22282.389076405732,22178.727732140105,22957.767426845974,24457.833032651626,23730.388995209778,24431.31558131333,24229.868218267013,23866.34243367816,23644.02465625129,24350.20910181876,24673.361288013322,30532.847829076167,25459.30456448329,26822.764733567372,26242.13604043108,27322.72896192119,26768.706360040556,29792.350601922808,27815.879869322296,27077.423138556103,27399.000197920926,26730.980636534485,27947.556128341905,33880.267253642036
